isbn,similar_books
0002005018,"0020811853,3498016709,3492225926,3803112133,0330282565,0345311779,0425156028,0345374797,0061044539,0446613150"
0002251760,"044900192X,0811811409,0679739793,0380722291,0811808424,0445403470,0312868855,0743431006,0679833692,0060924845"
000649840X,"0316058211,3462032208,0553578936,0449004503,0330282565,0425156028,0345311779,0373028768,0345374797,031298376X"
0006547834,"0330255320,0747272522,0553575937,0140019421,1853260967,0140430636,0330282565,0151885338,044021808X,0446613150"
0006550576,"044022375X,0698116844,0373245319,0451176928,0446400580,0671786733,0812524160,0373710615,0451526120,0099143712"
0006550789,"0312974205,0449912108,044021808X,0312979649,0330282565,0440122961,031298376X,0553240455,3764501782,3498016709"
0007106572,"0373226780,0312983484,0821768441,1573227161,0312978723,0440225078,0671039938,0060517212,0451192311,0505524279"
0007110928,"0140149902,0743421566,0330269828,0061096644,0425129632,0749399570,0425105709,014027927X,0345311779,0345374797"
0007141076,"0380976498,0452276721,0451192575,0679767959,0140014845,0841914060,0520204956,0312979487,0316548189,0375724400"
0007154615,"0517595745,006000942X,0399150749,1558745629,031226772X,0440122961,0330282565,3462032208,0449004503,044021808X"
000716226X,"0099479419,0140049401,0060929596,1885983212,087542127X,014100374X,0552998486,0671042793,0446678112,0064471969"
0020125305,"0553577565,0671721631,0440235758,0440235715,0671873172,0060099089,0878575103,0671721720,0345319958,0812531019"
0020198817,"0380010003,0375709215,0446363162,0446610879,0670850535,006100717X,0393301583,0312964064,0553269631,0553286005"
0020198906,"0345394380,0553575244,0812534417,0380731207,0446364789,0395585643,0060919833,0061041998,0380899361,0345340906"
0020199600,"1853260398,0449244172,0380521830,0312977433,0743247752,0345365208,0373711484,0684813076,0553212923,0446322180"
002026478X,"0679407111,0671632663,0553250728,0449218422,0449219089,0425070190,0316184152,0671554271,193072229X,006109692X"
002040400X,"0552998036,0688117619,0671745530,0440221463,0330484907,0394758374,0312982895,0425143341,0446400807,0517588684"
