user_id,location,age,age_group,cluster_id,collaborative_cluster_recommendation,demographic_recommendation,geographic_recommendation
276746,"fort worth, ,",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0425115801', '0449006522', '0553561618', '055356451X']"
276747,"iowa city, iowa, usa",25.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0156907399', '0312282702', '0671526022', '0684841185', '1563890119', '1573220280', '0060191538', '0060517794', '0312284683', '0312980159']"
276762,"duisburg, nordrhein-westfalen, germany",25.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0345391837', '0385504209', '0385512104', '0812521374', '3551551685', '0330336630', '185326024X', '3404118960', '3404148665', '3442429552']"
276798,"mannheim, baden-wuerttemberg, germany",31.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0316096199', '0671755056', '1573227889', '3442350247', '3442437725', '0140089225', '0671017144', '3499121581', '3746614007', '3471772707']"
276800,"dunedin, otago, new zealand",23.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0141301120', '0345433017', '0671776975', '0747541604', '0892131284', '0156027321', '0064471101', '0142001740', '0345404769', '038549081X']"
276822,"calgary, alberta, canada",11.0,Teenager,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0836214439', '0449908100', '0060096195', '0060392991', '0060952520', '0061097101', '0064471047', '0140096825', '0140328696', '0151008116']"
276828,"paris, paris, france",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['2070388905', '2070408507', '2253140872', '2253144452', '2290045764', '0140046569', '0385503954', '0451526341', '0140157379', '2290302155']"
276847,"köln, nordrhein-westfalen, germany",27.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['3499224615', '3499224623', '3551551677', '3551551685', '3551551693', '226612269X', '3404130081', '3442727952', '0060926317', '0452277337']"
276848,"köln, nordrhein-westfalen, germany",41.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['3499224615', '3499224623', '3551551677', '3551551685', '3551551693', '226612269X', '3404130081', '3442727952', '0060926317', '0452277337']"
276856,"mirecourt, lorraine, france",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']",['2253005274']
